記号,説明,樹脂,,,,複合,,,,アルミ,,,,ガラス,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3WgG06,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層6mm）,2,1.8,0.39,0.3,2.3,2.1,0.43,0.33,2.7,2.4,0.43,0.33,1.4,1.3,0.54,0.41
3WgG07,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層7mm）,1.9,1.7,0.39,0.3,2.2,2,0.43,0.33,2.6,2.3,0.43,0.33,1.3,1.2,0.54,0.41
3WgG08,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層8mm）,1.8,1.7,0.39,0.3,2.1,1.9,0.43,0.33,2.5,2.2,0.43,0.33,1.2,1.1,0.54,0.41
3WgG09,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層9mm）,1.7,1.6,0.39,0.3,2.1,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1.1,1,0.54,0.41
3WgG10,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層10mm）,1.7,1.6,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,1,0.96,0.54,0.41
3WgG11,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層11mm）,1.7,1.5,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.95,0.91,0.54,0.41
3WgG12,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層12mm）,1.6,1.5,0.39,0.3,1.9,1.8,0.43,0.33,2.3,2,0.43,0.33,0.9,0.86,0.54,0.41
3WgG13,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層13mm）,1.6,1.5,0.39,0.3,1.9,1.7,0.43,0.33,2.2,2,0.43,0.33,0.86,0.83,0.54,0.41
3WgG14,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層14mm）,1.6,1.5,0.39,0.3,1.9,1.7,0.43,0.33,2.2,2,0.43,0.33,0.82,0.79,0.54,0.41
3WgG15,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層15mm）,1.6,1.4,0.39,0.3,1.8,1.7,0.43,0.33,2.2,2,0.43,0.33,0.79,0.76,0.54,0.41
3WgG16,三層ガラス（Lowε2枚、断熱ガス、日射取得型、空気層16mm）,1.5,1.4,0.39,0.3,1.8,1.7,0.43,0.33,2.2,1.9,0.43,0.33,0.76,0.73,0.54,0.41
3WsG06,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層6mm）,2,1.8,0.24,0.19,2.3,2.1,0.26,0.21,2.7,2.4,0.26,0.21,1.4,1.3,0.33,0.26
3WsG07,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層7mm）,1.9,1.7,0.24,0.19,2.2,2,0.26,0.21,2.6,2.3,0.26,0.21,1.3,1.2,0.33,0.26
3WsG08,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層8mm）,1.8,1.7,0.24,0.19,2.1,1.9,0.26,0.21,2.5,2.2,0.26,0.21,1.2,1.1,0.33,0.26
3WsG09,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層9mm）,1.7,1.6,0.24,0.19,2.1,1.9,0.26,0.21,2.4,2.2,0.26,0.21,1.1,1,0.33,0.26
3WsG10,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層10mm）,1.7,1.6,0.24,0.19,2,1.8,0.26,0.21,2.3,2.1,0.26,0.21,1,0.96,0.33,0.26
3WsG11,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層11mm）,1.7,1.5,0.24,0.19,2,1.8,0.26,0.21,2.3,2.1,0.26,0.21,0.95,0.91,0.33,0.26
3WsG12,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層12mm）,1.6,1.5,0.24,0.19,1.9,1.8,0.26,0.21,2.3,2,0.26,0.21,0.9,0.86,0.33,0.26
3WsG13,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層13mm）,1.6,1.5,0.24,0.19,1.9,1.7,0.26,0.21,2.2,2,0.26,0.21,0.86,0.83,0.33,0.26
3WsG14,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層14mm）,1.6,1.5,0.24,0.19,1.9,1.7,0.26,0.21,2.2,2,0.26,0.21,0.82,0.79,0.33,0.26
3WsG15,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層15mm）,1.6,1.4,0.24,0.19,1.8,1.7,0.26,0.21,2.2,2,0.26,0.21,0.79,0.76,0.33,0.26
3WsG16,三層ガラス（Lowε2枚、断熱ガス、日射遮蔽型、空気層16mm）,1.5,1.4,0.24,0.19,1.8,1.7,0.26,0.21,2.2,1.9,0.26,0.21,0.76,0.73,0.33,0.26
3WgA06,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層6mm）,2.2,2,0.39,0.3,2.5,2.3,0.43,0.33,2.9,2.6,0.43,0.33,1.7,1.6,0.54,0.41
3WgA07,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層7mm）,2.1,1.9,0.39,0.3,2.4,2.2,0.43,0.33,2.8,2.5,0.43,0.33,1.5,1.5,0.54,0.41
3WgA08,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層8mm）,2,1.8,0.39,0.3,2.3,2.1,0.43,0.33,2.7,2.4,0.43,0.33,1.4,1.3,0.54,0.41
3WgA09,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層9mm）,1.9,1.8,0.39,0.3,2.2,2.1,0.43,0.33,2.6,2.4,0.43,0.33,1.3,1.2,0.54,0.41
3WgA10,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層10mm）,1.9,1.7,0.39,0.3,2.2,2,0.43,0.33,2.5,2.3,0.43,0.33,1.2,1.2,0.54,0.41
3WgA11,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層11mm）,1.8,1.7,0.39,0.3,2.1,1.9,0.43,0.33,2.5,2.2,0.43,0.33,1.2,1.1,0.54,0.41
3WgA12,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層12mm）,1.8,1.6,0.39,0.3,2.1,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1.1,1,0.54,0.41
3WgA13,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層13mm）,1.7,1.6,0.39,0.3,2,1.9,0.43,0.33,2.4,2.2,0.43,0.33,1,1,0.54,0.41
3WgA14,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層14mm）,1.7,1.6,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.99,0.95,0.54,0.41
3WgA15,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層15mm）,1.7,1.5,0.39,0.3,2,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.95,0.91,0.54,0.41
3WgA16,三層ガラス（Lowε2枚、乾燥空気、日射取得型、空気層16mm）,1.6,1.5,0.39,0.3,1.9,1.8,0.43,0.33,2.3,2.1,0.43,0.33,0.92,0.88,0.54,0.41
3WsA06,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層6mm）,2.2,2,0.24,0.19,2.5,2.3,0.26,0.21,2.9,2.6,0.26,0.21,1.7,1.6,0.33,0.26
3WsA07,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層7mm）,2.1,1.9,0.24,0.19,2.4,2.2,0.26,0.21,2.8,2.5,0.26,0.21,1.5,1.5,0.33,0.26
3WsA08,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層8mm）,2,1.8,0.24,0.19,2.3,2.1,0.26,0.21,2.7,2.4,0.26,0.21,1.4,1.3,0.33,0.26
3WsA09,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層9mm）,1.9,1.8,0.24,0.19,2.2,2.1,0.26,0.21,2.6,2.4,0.26,0.21,1.3,1.2,0.33,0.26
3WsA10,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層10mm）,1.9,1.7,0.24,0.19,2.2,2,0.26,0.21,2.5,2.3,0.26,0.21,1.2,1.2,0.33,0.26
3WsA11,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層11mm）,1.8,1.7,0.24,0.19,2.1,1.9,0.26,0.21,2.5,2.2,0.26,0.21,1.2,1.1,0.33,0.26
3WsA12,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層12mm）,1.8,1.6,0.24,0.19,2.1,1.9,0.26,0.21,2.4,2.2,0.26,0.21,1.1,1,0.33,0.26
3WsA13,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層13mm）,1.7,1.6,0.24,0.19,2,1.9,0.26,0.21,2.4,2.2,0.26,0.21,1,1,0.33,0.26
3WsA14,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層14mm）,1.7,1.6,0.24,0.19,2,1.8,0.26,0.21,2.3,2.1,0.26,0.21,0.99,0.95,0.33,0.26
3WsA15,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層15mm）,1.7,1.5,0.24,0.19,2,1.8,0.26,0.21,2.3,2.1,0.26,0.21,0.95,0.91,0.33,0.26
3WsA16,三層ガラス（Lowε2枚、乾燥空気、日射遮蔽型、空気層16mm）,1.6,1.5,0.24,0.19,1.9,1.8,0.26,0.21,2.3,2.1,0.26,0.21,0.92,0.88,0.33,0.26
3LgG06,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層6mm）,2.1,2,0.42,0.32,2.5,2.3,0.47,0.35,2.9,2.6,0.47,0.35,1.7,1.6,0.59,0.44
3LgG07,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層7mm）,2.1,1.9,0.42,0.32,2.4,2.2,0.47,0.35,2.8,2.5,0.47,0.35,1.6,1.5,0.59,0.44
3LgG08,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層8mm）,2,1.9,0.42,0.32,2.4,2.2,0.47,0.35,2.7,2.5,0.47,0.35,1.5,1.4,0.59,0.44
3LgG09,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層9mm）,1.9,1.8,0.42,0.32,2.3,2.1,0.47,0.35,2.6,2.4,0.47,0.35,1.4,1.3,0.59,0.44
3LgG10,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層10mm）,1.9,1.8,0.42,0.32,2.2,2.1,0.47,0.35,2.6,2.4,0.47,0.35,1.3,1.2,0.59,0.44
3LgG11,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層11mm）,1.9,1.7,0.42,0.32,2.2,2,0.47,0.35,2.5,2.3,0.47,0.35,1.3,1.2,0.59,0.44
3LgG12,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層12mm）,1.8,1.7,0.42,0.32,2.2,2,0.47,0.35,2.5,2.3,0.47,0.35,1.2,1.1,0.59,0.44
3LgG13,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層13mm）,1.8,1.7,0.42,0.32,2.1,2,0.47,0.35,2.5,2.2,0.47,0.35,1.2,1.1,0.59,0.44
3LgG14,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層14mm）,1.8,1.7,0.42,0.32,2.1,1.9,0.47,0.35,2.4,2.2,0.47,0.35,1.1,1.1,0.59,0.44
3LgG15,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層15mm）,1.8,1.6,0.42,0.32,2.1,1.9,0.47,0.35,2.4,2.2,0.47,0.35,1.1,1,0.59,0.44
3LgG16,三層ガラス（Lowε1枚、断熱ガス、日射取得型、空気層16mm）,1.7,1.6,0.42,0.32,2.1,1.9,0.47,0.35,2.4,2.2,0.47,0.35,1.1,1,0.59,0.44
3LsG06,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層6mm）,2.1,2,0.27,0.21,2.5,2.3,0.3,0.23,2.9,2.6,0.3,0.23,1.7,1.6,0.37,0.29
3LsG07,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層7mm）,2.1,1.9,0.27,0.21,2.4,2.2,0.3,0.23,2.8,2.5,0.3,0.23,1.6,1.5,0.37,0.29
3LsG08,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層8mm）,2,1.9,0.27,0.21,2.4,2.2,0.3,0.23,2.7,2.5,0.3,0.23,1.5,1.4,0.37,0.29
3LsG09,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層9mm）,1.9,1.8,0.27,0.21,2.3,2.1,0.3,0.23,2.6,2.4,0.3,0.23,1.4,1.3,0.37,0.29
3LsG10,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層10mm）,1.9,1.8,0.27,0.21,2.2,2.1,0.3,0.23,2.6,2.4,0.3,0.23,1.3,1.2,0.37,0.29
3LsG11,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層11mm）,1.9,1.7,0.27,0.21,2.2,2,0.3,0.23,2.5,2.3,0.3,0.23,1.3,1.2,0.37,0.29
3LsG12,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層12mm）,1.8,1.7,0.27,0.21,2.2,2,0.3,0.23,2.5,2.3,0.3,0.23,1.2,1.1,0.37,0.29
3LsG13,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層13mm）,1.8,1.7,0.27,0.21,2.1,2,0.3,0.23,2.5,2.2,0.3,0.23,1.2,1.1,0.37,0.29
3LsG14,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層14mm）,1.8,1.7,0.27,0.21,2.1,1.9,0.3,0.23,2.4,2.2,0.3,0.23,1.1,1.1,0.37,0.29
3LsG15,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層15mm）,1.8,1.6,0.27,0.21,2.1,1.9,0.3,0.23,2.4,2.2,0.3,0.23,1.1,1,0.37,0.29
3LsG16,三層ガラス（Lowε1枚、断熱ガス、日射遮蔽型、空気層16mm）,1.7,1.6,0.27,0.21,2.1,1.9,0.3,0.23,2.4,2.2,0.3,0.23,1.1,1,0.37,0.29
3LgA06,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層6mm）,2.3,2.2,0.42,0.32,2.8,2.5,0.47,0.35,3.1,2.8,0.47,0.35,2,1.8,0.59,0.44
3LgA07,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層7mm）,2.2,2.1,0.42,0.32,2.6,2.4,0.47,0.35,3,2.7,0.47,0.35,1.8,1.7,0.59,0.44
3LgA08,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層8mm）,2.2,2,0.42,0.32,2.6,2.3,0.47,0.35,2.9,2.6,0.47,0.35,1.7,1.6,0.59,0.44
3LgA09,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層9mm）,2.1,2,0.42,0.32,2.5,2.3,0.47,0.35,2.8,2.6,0.47,0.35,1.6,1.5,0.59,0.44
3LgA10,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層10mm）,2.1,1.9,0.42,0.32,2.4,2.2,0.47,0.35,2.8,2.5,0.47,0.35,1.5,1.5,0.59,0.44
3LgA11,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層11mm）,2,1.9,0.42,0.32,2.4,2.2,0.47,0.35,2.7,2.5,0.47,0.35,1.5,1.4,0.59,0.44
3LgA12,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層12mm）,2,1.8,0.42,0.32,2.3,2.1,0.47,0.35,2.7,2.4,0.47,0.35,1.4,1.3,0.59,0.44
3LgA13,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層13mm）,1.9,1.8,0.42,0.32,2.3,2.1,0.47,0.35,2.6,2.4,0.47,0.35,1.3,1.3,0.59,0.44
3LgA14,三層ガラス（Lowε1枚、乾燥空気、日射取得型、空気層14mm）,1.9,1.8,0.42,0.32,2.2,2.1,0.47,0.35,2.6,2.3,0.47,0.35,1.3,1.2,0.59,0.44
